"key_orgao";"id_orgao";"codigo_orgao";"nome_orgao";"version";"date_from";"date_to"
0;0;0;"Nao cadastrado";1;"2000-01-01 00:00:01";"2038-01-01 00:00:00"
1;1;20000;"Presidência da República";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
2;3;20113;"Ministério do Planejamento e Orçamento";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
3;4;20202;"Fundação Escola Nacional de Administração Pública";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
4;5;20203;"Agência Nacional do Cinema";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
5;6;20301;"Comissão Nacional de Energia Nuclear";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
6;7;20402;"Agência Espacial Brasileira";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
7;8;20403;"Fundação Casa de Rui Barbosa";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
8;9;20404;"Fundação Biblioteca Nacional";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
9;10;20408;"Fundação Cultural Palmares";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
10;11;20411;"Instituto do Patrimônio Histórico e Artístico Nacional";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
11;12;20412;"Fundação Nacional de Artes";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
12;13;20501;"Conselho Nacional de Desenvolvimento Científico e Tecnológico";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
13;14;20603;"Superintendência da Zona Franca de Manaus";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
14;15;20701;"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
15;16;22000;"Ministério da Agricultura e Pecuária";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
16;17;22201;"Instituto Nacional de Colonização e Reforma Agrária";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
17;18;22204;"Departamento Nacional de Obras Contra as Secas";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
18;19;22211;"Companhia Nacional de Abastecimento";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
19;20;24000;"Ministério da Ciência, Tecnologia e Inovação";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
20;21;24208;"Instituto Nacional de Tecnologia da Informação";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
21;22;24209;"Centro Nacional de Tecnologia Eletrônica Avançada S.A.";1;"2000-01-01 00:00:00";"2037-12-31 23:59:59"
